,,,,,,,,,,,,,,,,,,,
Entry date,Source,Source id,Vertical Name,Organisation Name,Place,State,"Tender Type
(GeM  / Non GeM)
",TENDER ID,LINK,PUBLISH DATE,   Start Date,End Date,Time,Pre Bid Date,Corrigendum Remark,Product Name As per Tender,Product Name As per MarkEn,Bid Qty,Quoted Qty
6 Feb 2026,GeM,,Medical Equipment & Furniture,Hll Infra Tech Services Limited,Noida,Delhi,GeM,GEM/2026/B/7186180,https://www.tender247.com/auth/tender/98195252/d1cfa70a-6f0f-402e-8fc9-98a8a912fea4?tesd=16-03-2026,3 Feb 2026,3 Feb 2026,6 May 2026,3:00 PM,No,No,Bubble CPAP Machine,Bubble CPAP Machine,15,15
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274565_1,,4 Feb 2026,4 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Drug trolley/medicine cart,Drug trolley/medicine cart,210,210
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274565_1,https://www.tender247.com/auth/tender/98195252/d1cfa70a-6f0f-402e-8fc9-98a8a912fea4?tesd=16-03-2026,4 Feb 2026,4 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Instrument trolley,Instrument trolley,256,256
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Tata Memorial Centre,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274565_1,,4 Feb 2026,4 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Ward bed (2 section) with mattress,Ward bed (2 section) with mattress,986,986
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274565_1,,4 Feb 2026,4 Feb 2026,13 Apr 2026,2:00 PM,NO,No,ECG machine trolley,ECG machine trolley,87,87
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274565_1,,4 Feb 2026,4 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Radiant warmer,Radiant warmer,51,51
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274345_1,,3 Feb 2026,3 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Aneroid bp apparatus,Aneroid bp apparatus,271,271
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274345_1,,3 Feb 2026,3 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Bed side stool,Bed side stool,249,249
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274345_1,,3 Feb 2026,3 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Bedside locker,Bedside locker,2070,2070
13 Feb 2026,E- Procurment,,Medical Equipment & Furniture,Maharashtra Medical Goods Procurement Authority Mumbai,MUMBAI,Maharashtra,Non GeM,2026_MMGPA_1274345_1,,3 Feb 2026,3 Feb 2026,13 Apr 2026,2:00 PM,NO,No,Biomedical waste bin small set of 3,Biomedical waste bin small set of 3,1536,1536
